symbol	CSC1_SC2	CSC1_SC3	CSC1_DC2	CSC1_DC3
A1BG	0.0207773	0.0308343	0.074653	0
A1BG-AS1	0.163846	0.0998258	0.210709	0.0425972
A1CF	1.03407	0.747626	0.859288	0.486253
A2M	0.00396598	0.00393756	0.0409555	0.0118257
A2M-AS1	0.0741092	0.10513	0.0857828	0.081845
A2ML1	0.0863426	0.055458	0.0726016	0.835384
A2MP1	0	0	0	0.0452858
A3GALT2	0	0.0354294	0.0556	0
A4GALT	0.351088	1.54941	1.19769	3.73621
A4GNT	0	0.0103224	0	0
AA06	0	0	0	0
AAAS	5.88635	5.73175	5.72264	5.55427
AACS	4.21924	4.33352	3.33767	3.76843
AACSP1	1.89199	2.1698	2.64887	2.03627
AADAC	2.33217	2.18755	1.24379	1.25283
AADACL2	0.0244308	0	0	0
AADACL3	0.0315985	0	0	0
AADACL4	0	0	0	0
AADAT	2.0607	3.14851	1.65996	2.75876
AAED1	2.70505	2.73052	2.25171	2.67763
AAGAB	4.38851	4.6233	3.58765	4.38204
AAK1	1.29587	1.5508	1.35012	2.04783
AAMDC	2.1884	2.53457	2.67729	2.52652
AAMP	6.57307	6.54536	6.47265	6.45668
AANAT	0.0873552	0.0698097	0.0187179	0.0700715
AAR2	4.42184	4.52332	4.14365	4.21346
AARD	0	0	0	0.0204777
AARS	5.39758	4.88593	4.69474	5.02228
AARS2	3.11447	3.18506	3.22704	3.05609
AARSD1	6.35198	6.23933	6.00163	5.76734
AASDH	1.26472	1.17443	1.03544	0.997538
AASDHPPT	3.23661	3.56951	3.34949	3.72089
AASS	1.98013	2.29627	1.41465	2.49794
AATF	5.82887	5.83001	5.67086	5.61483
AATK	3.32709	3.22593	4.24976	3.68596
AATK-AS1	0	0	0	0
ABAT	0.595994	0.612185	1.02477	2.53706
ABCA1	0.0636782	0.0732286	0.0541866	0.0867741
ABCA10	0.19619	0.0898738	0.169748	0.250403
ABCA11P	1.50513	1.40645	1.52288	1.13249
ABCA12	1.43539	1.02539	0.552606	1.43308
ABCA13	0.15194	0.213015	0.317749	0.449427
ABCA17P	0.0262344	0.0260478	0	0.0304591
ABCA2	3.52046	3.60966	4.01581	3.4495
ABCA3	0.197843	0.179494	0.263367	0.14285
ABCA4	0.0617289	0.0492428	0.118982	0.0518563
ABCA5	0.61261	0.84486	1.38613	1.36371
ABCA6	0.13004	0.0274509	0	0.142281
ABCA7	2.89568	3.26505	2.51112	3.34689
ABCA8	0	0	0	0.00321616
ABCA9	0.118198	0.0087087	0.0303555	0.149783
ABCB1	0.0310114	0.0154777	0.0284096	0.119848
ABCB10	2.80274	2.4112	2.34629	2.44493
ABCB11	0.0381897	0.0965903	0.0200998	0.0267492
ABCB4	0.0229843	0.19345	0.00966149	0.0137882
