"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000179674",877.940065179573,3.1382306314944,0.431937707809168,7.26547040176654,3.71742325492736e-13,5.70996211956843e-10
"ENSG00000144824",359.440968222339,-4.15205444725816,0.616844059258642,-6.73112496576255,1.68356290586975e-11,1.29297631170797e-08
"ENSG00000074416",503.196763857568,-2.40906493173748,0.374357619054558,-6.43519674535165,1.23313495670238e-10,6.3136509783162e-08
"ENSG00000182179",103.479066571231,-2.370150639104,0.371855359069862,-6.37385096461311,1.84339734297508e-10,7.07864579702432e-08
"ENSG00000163659",2161.46677797222,2.16212332458465,0.347879178823888,6.21515588226455,5.12737229197588e-10,1.57512876809499e-07
"ENSG00000114737",151.629201448855,-1.65930149805496,0.280108342706505,-5.92378463997968,3.14615424549093e-09,8.05415486845678e-07
"ENSG00000177494",31.7648875003052,-6.690038294139,1.262734521488,-5.29805606823476,1.1704203076523e-07,2.56823656079134e-05
"ENSG00000174640",49.5085233453431,-4.17763452024187,0.802178085974776,-5.20786418039003,1.91026663119512e-07,3.66771193189464e-05
"ENSG00000066422",955.378773085076,1.10039822029117,0.217590628154871,5.05719492435104,4.25468296198488e-07,6.53896752842291e-05
"ENSG00000154781",378.575341928709,0.838553844425299,0.16581763650587,5.05708477153221,4.25714031798366e-07,6.53896752842291e-05
"ENSG00000158163",57.3180502158851,4.43490504339451,0.889328829798381,4.98680003930599,6.13875417947786e-07,8.57193310879818e-05
"ENSG00000114270",106.415995264443,-2.12462560396607,0.441483399847448,-4.81246996987932,1.49076278789172e-06,0.000179357804244677
"ENSG00000176945",466.521357917127,-2.25482647950435,0.468890891888074,-4.80885109630704,1.51800224946667e-06,0.000179357804244677
"ENSG00000121858",123.441807659697,-1.7970801307136,0.38034067058611,-4.72492233855578,2.30203314712033e-06,0.000252565922426917
"ENSG00000090520",984.421409063345,0.763498814688212,0.162790457520155,4.69007106631961,2.73110176696287e-06,0.000266703567898986
"ENSG00000182580",1330.95087210717,1.50540562795524,0.321216646786794,4.68657413310974,2.77816216561443e-06,0.000266703567898986
"ENSG00000186451",28.8090364211659,2.22333042832922,0.485094215510547,4.58329610463245,4.57703175664309e-06,0.000413548281070811
"ENSG00000178038",832.881998872715,-1.72515716455658,0.37869173926557,-4.5555711563773,5.22434260362287e-06,0.000445810568842485
"ENSG00000145050",954.826884717703,1.1578936396605,0.256473043397976,4.51467968843713,6.34125362392169e-06,0.000512640292965458
"ENSG00000175105",547.692087761508,1.0404596237218,0.235863836216586,4.41127236973448,1.02764951823579e-05,0.000789234830005086
"ENSG00000114626",245.935112010957,-1.3419075361905,0.310366659604044,-4.32362012692493,1.53489499025618e-05,0.00112266605001595
"ENSG00000163840",1709.48687803338,-0.913459009461556,0.214384168873454,-4.26085104260077,2.03649935876137e-05,0.00142184682502612
"ENSG00000090530",18.5684589985411,-3.25961726402413,0.768930652995326,-4.23915635477201,2.24361357338312e-05,0.00149834367335499
"ENSG00000185112",506.984598124894,1.86203390193983,0.444456012506885,4.18946723532285,2.79610149144353e-05,0.00178950495452386
"ENSG00000196639",434.164398119206,1.378478125399,0.335225329548438,4.1120941763436,3.92086286763774e-05,0.00240897814587663
"ENSG00000138463",212.961171325585,-1.26235464890286,0.310168382573768,-4.06990112411808,4.70330947477787e-05,0.00246131204474174
"ENSG00000151576",1112.18412682531,0.652716512873359,0.160577544741597,4.06480566086447,4.80725008738621e-05,0.00246131204474174
"ENSG00000163788",423.911407752831,0.978535140322904,0.24047998527456,4.06909181737388,4.71967466456699e-05,0.00246131204474174
"ENSG00000184307",330.28447914988,-0.721354594995577,0.1770463340183,-4.07438312120608,4.6136476449552e-05,0.00246131204474174
"ENSG00000240787",260.255423905197,-0.997390467273916,0.244429823177895,-4.08047780056699,4.4943221669467e-05,0.00246131204474174
"ENSG00000236893",1787.4702463341,-0.897780806266704,0.225116460300965,-3.98807268498463,6.66122566258315e-05,0.00319738831803991
"ENSG00000269984",18.5507032409113,1.92881602042736,0.483636886648815,3.98814911284452,6.6590805074908e-05,0.00319738831803991
"ENSG00000196776",1316.71213822677,-1.40248000236463,0.353780016654235,-3.96427140127403,7.36204568715353e-05,0.00342669762892964
"ENSG00000181449",145.749045509681,1.71481650781801,0.445940291315632,3.84539486835532,0.000120358460512242,0.00543737045137657
"ENSG00000138496",893.103416585791,-1.36301348832031,0.355878831569853,-3.82999315330948,0.000128146824435464,0.00562381492379638
"ENSG00000136514",56.5975235142915,-1.95381270061471,0.511434801471519,-3.8202576261786,0.000133312352936698,0.0056879937252991
"ENSG00000136527",3491.45894911217,0.718609692507862,0.191763995673702,3.74736503577355,0.000178701932883953,0.00726376955453412
"ENSG00000145113",159.673845455625,-2.71173874519692,0.723909524529586,-3.74596362295285,0.000179702632208526,0.00726376955453412
"ENSG00000144455",248.513721775791,-0.756224893781852,0.215240461580523,-3.51339561450876,0.000442418212290798,0.0174244711302222
"ENSG00000173193",2269.51734205644,-1.50811843455363,0.431381917492165,-3.49601680877368,0.000472258949957528,0.0181347436783691
"ENSG00000163638",21.3410756132496,-2.84795171469552,0.817602144927833,-3.48329775351421,0.000495277181603585,0.0185547744132465
"ENSG00000164051",771.467037864598,-0.805002664792995,0.235168709911235,-3.42308577147379,0.000619145375077945,0.0217816256907972
"ENSG00000172765",333.366245943649,-0.956258734180743,0.279993795975743,-3.41528543819445,0.000637152047699933,0.0217816256907972
"ENSG00000225611",3.49736860965908,3.31425423856736,0.967206796153953,3.42662422529113,0.000611134151538464,0.0217816256907972
"ENSG00000226435",4.53701355994488,4.33529463988973,1.26953573643606,3.41486617151882,0.000638133565160075,0.0217816256907972
"ENSG00000145103",168.549001492095,-1.10676515354349,0.325799552379529,-3.39707389239812,0.000681105723321807,0.0227430085004847
"ENSG00000001617",181.708185547296,-1.60110301765702,0.475513718559174,-3.36710163170146,0.000759626879477296,0.0243360962282044
"ENSG00000073803",1024.94149751487,-0.600669044045729,0.178410343457133,-3.36678374362331,0.000760503007131388,0.0243360962282044
"ENSG00000144597",628.137061754415,0.506049446039468,0.151182915850698,3.34726607958285,0.000816128338470012,0.0255831250589783
"ENSG00000196428",1267.71383523863,1.14233925539315,0.342570036702557,3.33461521150202,0.000854175075539138,0.0262402583205623
"ENSG00000174013",1041.1255569131,0.720799837028953,0.217833922642167,3.30894209811848,0.000936492024404597,0.0282049362644208
"ENSG00000138231",430.614111096342,0.569973275323106,0.173822887580986,3.27904617887302,0.00104158590086377,0.0302257646986268
"ENSG00000164050",2168.56787766756,-0.775736965859864,0.236600546682701,-3.27867782528916,0.00104294630796043,0.0302257646986268
"ENSG00000114115",9.09268258369072,-3.63927676273342,1.12968038944051,-3.22151008086086,0.00127516976372553,0.0362714955015263
"ENSG00000172037",821.588505482213,-1.09387912506186,0.343985464622254,-3.18001554589841,0.00147267151614037,0.0406321074659513
"ENSG00000231177",26.41260217904,-1.50107393753938,0.47228729546382,-3.17830683136463,0.00148137891802947,0.0406321074659513
"ENSG00000114019",1203.00517348911,-1.50433297304807,0.4834944672972,-3.11137577531652,0.00186217805353253,0.0493156119004477
"ENSG00000163820",921.790518084174,-0.629733117121697,0.202288433884866,-3.11304559053592,0.00185167411546156,0.0493156119004477
"ENSG00000180611",729.425282534976,1.08894842257487,0.350617665956895,3.10580021575053,0.00189764879482377,0.0494031957432087
"ENSG00000155893",374.331809368854,-0.819060260027919,0.266732720986723,-3.07071534755082,0.00213546630231563,0.0546679373392801
"ENSG00000189058",95.6758925183143,-3.21914137758632,1.05041661361955,-3.06463296167197,0.00217937276683928,0.0548773208174613
